Corridor,Released_Loads,Cars_Enroute,Cars_Dwelling,Cars_Entering,snapshotdate,Date
Vancouver,1653,5750,784,535,2016-12-17,2016-12-15
Western Canada,0,2,1,1,2016-12-17,2016-12-15
Prince Rupert,58,1276,57,200,2016-12-18,2016-12-16
Vancouver,1629,5880,626,745,2016-12-18,2016-12-16
Western Canada,0,2,1,0,2016-12-18,2016-12-16
Prince Rupert,128,1373,76,179,2016-12-19,2016-12-17
Vancouver,1601,5692,631,567,2016-12-19,2016-12-17
Western Canada,0,1,0,0,2016-12-19,2016-12-17
Prince Rupert,321,1361,104,186,2016-12-20,2016-12-18
Vancouver,1865,5845,561,974,2016-12-20,2016-12-18
Western Canada,0,2,0,1,2016-12-20,2016-12-18
Prince Rupert,467,1264,132,116,2016-12-21,2016-12-19
Vancouver,2051,5694,455,631,2016-12-21,2016-12-19
Western Canada,1,2,0,0,2016-12-21,2016-12-19
Prince Rupert,642,1163,113,147,2016-12-22,2016-12-20
Vancouver,2168,5340,406,636,2016-12-22,2016-12-20
Western Canada,1,2,0,0,2016-12-22,2016-12-20
Prince Rupert,783,967,91,59,2016-12-23,2016-12-21
Vancouver,2105,5505,624,920,2016-12-23,2016-12-21
Western Canada,0,2,0,0,2016-12-23,2016-12-21
Prince Rupert,459,1169,100,210,2016-12-24,2016-12-22
Vancouver,1382,5729,787,488,2016-12-24,2016-12-22
Western Canada,0,2,0,0,2016-12-24,2016-12-22
Prince Rupert,161,1166,196,0,2016-12-25,2016-12-23
Vancouver,621,5734,865,43,2016-12-25,2016-12-23
Western Canada,0,2,0,0,2016-12-25,2016-12-23
Prince Rupert,109,1182,303,113,2016-12-26,2016-12-24
Vancouver,137,6234,1256,551,2016-12-26,2016-12-24
Western Canada,0,2,0,0,2016-12-26,2016-12-24
Prince Rupert,328,1315,384,307,2016-12-27,2016-12-25
Vancouver,722,6044,1319,467,2016-12-27,2016-12-25
Western Canada,0,2,0,0,2016-12-27,2016-12-25
Prince Rupert,355,1281,454,44,2016-12-28,2016-12-26
Vancouver,1166,5589,1366,41,2016-12-28,2016-12-26
Western Canada,0,2,0,0,2016-12-28,2016-12-26
Prince Rupert,422,1407,242,457,2016-12-29,2016-12-27
Vancouver,1820,5268,982,751,2016-12-29,2016-12-27
Western Canada,0,2,0,0,2016-12-29,2016-12-27
Prince Rupert,592,1510,131,299,2016-12-30,2016-12-28
Vancouver,1939,5686,1060,1151,2016-12-30,2016-12-28
Western Canada,0,2,0,0,2016-12-30,2016-12-28
Prince Rupert,434,1473,150,50,2016-12-31,2016-12-29
Vancouver,1618,5596,1072,568,2016-12-31,2016-12-29
Western Canada,0,2,0,0,2016-12-31,2016-12-29
Prince Rupert,259,1448,151,0,2017-01-01,2016-12-30
Vancouver,1026,5682,1057,95,2017-01-01,2016-12-30
Western Canada,0,2,2,0,2017-01-01,2016-12-30
Prince Rupert,304,1377,151,138,2017-01-02,2016-12-31
Vancouver,959,5850,1147,902,2017-01-02,2016-12-31
Western Canada,0,2,2,0,2017-01-02,2016-12-31
Prince Rupert,439,1633,148,450,2017-01-03,2017-01-01
